U3[V],I3[A]
0.000,0.0000
0.612,0.0480
0.749,0.0400
1.159,0.0400
1.546,0.0520
1.747,0.0570
2.077,0.0650
2.391,0.0660
2.681,0.0590
2.850,0.0550
3.084,0.0540
3.285,0.0560
3.487,0.0560
3.615,0.0560
3.801,0.0570
3.978,0.0640
4.155,0.0660
4.276,0.0760
4.445,0.0810
4.638,0.1020
5.113,0.1620
5.338,0.1650
5.524,0.1770
5.636,0.1930
5.717,0.2120
5.757,0.2310
5.814,0.2560
5.846,0.2760
5.886,0.3100
5.902,0.3270
5.934,0.2330
5.942,0.1750
5.950,0.1690
5.958,0.1760
5.967,0.1720
5.983,0.1580
5.983,0.1580
5.983,0.1510
5.991,0.1580
5.991,0.1520
5.999,0.1530
5.991,0.1320
5.999,0.1330
5.991,0.1260
5.999,0.1340
5.999,0.1350
5.999,0.1180
5.999,0.1160
5.999,0.1190
5.999,0.1120
6.007,0.1100
5.999,0.1320
5.999,0.1310
5.999,0.1310
5.999,0.1280
5.999,0.1380
6.007,0.1170
6.007,0.1110
5.999,0.1130
6.007,0.1120
6.007,0.1030
6.007,0.1050
6.007,0.1030
6.007,0.0910
6.007,0.0840
6.007,0.0910
6.007,0.0840
6.007,0.0810
6.007,0.0880
6.007,0.0810
6.007,0.0860
6.007,0.0850
6.007,0.0840
6.007,0.0840
6.007,0.0800
6.007,0.0820
6.007,0.0810
6.007,0.0770
6.007,0.0800
5.999,0.0740
6.007,0.0750
6.007,0.0750
5.999,0.0800
6.007,0.0790
6.007,0.0750
6.007,0.0730
5.999,0.0760
6.007,0.0720
6.007,0.0730
6.007,0.0770
5.999,0.0750
6.007,0.0760
6.007,0.0760
6.007,0.0720
6.007,0.0750
5.999,0.0730
5.999,0.0730
6.007,0.0750
6.007,0.0720
6.007,0.0740
5.999,0.0690
5.999,0.0730
6.007,0.0720
5.999,0.0710
5.999,0.0740
5.999,0.0710
5.999,0.0680
5.999,0.0740
5.999,0.0710
6.007,0.0720
6.007,0.0680
6.007,0.0670
6.007,0.0670
6.007,0.0650
6.007,0.0660
6.007,0.0680
6.007,0.0680
6.007,0.0670
6.007,0.0680
6.007,0.0670
6.007,0.0520
6.047,0.0370
6.039,0.0310
6.015,0.0290
6.007,0.0310
6.007,0.0310
6.007,0.0300
6.007,0.0310
5.999,0.0310
5.999,0.0310
5.999,0.0310
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0310
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0300
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0350
5.999,0.0350
5.999,0.0360
5.999,0.0350
5.999,0.0360
5.999,0.0350
5.999,0.0350
5.999,0.0360
5.999,0.0360
5.999,0.0370
5.999,0.0370
5.999,0.0360
5.999,0.0370
5.999,0.0360
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0360
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0350
5.999,0.0350
5.999,0.0360
5.999,0.0360
5.999,0.0350
5.999,0.0360
5.999,0.0350
5.999,0.0350
5.999,0.0360
5.999,0.0350
5.999,0.0350
5.999,0.0350
5.999,0.0350
5.999,0.0350
5.999,0.0340
5.999,0.0350
5.999,0.0350
6.007,0.0340
5.983,0.0780
5.975,0.0560
6.007,0.0460
6.023,0.0400
6.023,0.0370
6.007,0.0370
5.999,0.0380
5.999,0.0370
5.999,0.0380
5.999,0.0400
5.999,0.0430
5.999,0.0440
5.999,0.0430
5.999,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0460
6.007,0.0440
6.007,0.0440
6.007,0.0450
6.007,0.0460
6.007,0.0440
6.007,0.0390
5.999,0.0430
5.999,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0430
5.999,0.0450
5.999,0.0460
5.999,0.0460
5.999,0.0460
5.999,0.0460
6.007,0.0460
6.007,0.0450
6.007,0.0450
6.007,0.0440
5.999,0.0440
6.007,0.0390
5.999,0.0430
5.999,0.0430
5.999,0.0440
5.999,0.0440
5.999,0.0440
5.999,0.0450
6.007,0.0450
5.999,0.0460
5.999,0.0450
5.999,0.0460
6.007,0.0450
6.007,0.0450
6.007,0.0450
6.007,0.0450
6.007,0.0450
6.007,0.0400
6.007,0.0420
5.999,0.0430
5.999,0.0440
5.999,0.0440
5.999,0.0440
5.999,0.0430
5.999,0.0460
6.007,0.0450
5.999,0.0450
5.999,0.0450
6.007,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0460
6.007,0.0440
6.007,0.0450
6.007,0.0400
6.007,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0440
5.999,0.0440
5.999,0.0460
5.999,0.0440
5.999,0.0460
5.999,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0430
6.007,0.0430
6.007,0.0450
6.007,0.0400
6.007,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0440
5.999,0.0450
5.999,0.0460
5.999,0.0440
6.007,0.0460
5.999,0.0460
5.999,0.0470
5.999,0.0460
6.007,0.0440
5.999,0.0440
6.007,0.0450
6.007,0.0420
6.007,0.0390
5.999,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0460
5.999,0.0460
5.999,0.0460
6.007,0.0460
5.999,0.0460
6.007,0.0470
5.999,0.0460
6.007,0.0450
6.007,0.0450
6.007,0.0470
6.007,0.0420
6.007,0.0400
5.999,0.0440
5.999,0.0430
5.999,0.0450
5.999,0.0440
5.999,0.0440
5.999,0.0460
5.999,0.0470
6.007,0.0460
5.999,0.0460
6.007,0.0470
5.999,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0450
6.007,0.0440
6.007,0.0400
6.007,0.0420
5.999,0.0440
5.999,0.0460
5.999,0.0460
5.999,0.0460
5.999,0.0440
5.999,0.0440
5.999,0.0460
6.007,0.0470
6.007,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0470
5.999,0.0450
6.007,0.0390
6.007,0.0430
5.999,0.0430
5.999,0.0450
5.999,0.0460
5.999,0.0460
5.999,0.0450
5.999,0.0460
5.999,0.0470
6.007,0.0450
5.999,0.0460
6.007,0.0450
6.007,0.0470
6.007,0.0460
5.999,0.0460
6.007,0.0450
6.007,0.0430
6.007,0.0400
6.007,0.0440
5.999,0.0450
5.999,0.0460
5.999,0.0450
5.999,0.0440
5.999,0.0460
5.999,0.0460
5.999,0.0460
5.999,0.0450
6.007,0.0470
6.007,0.0460
6.007,0.0460
6.007,0.0470
6.007,0.0450
6.007,0.0440
6.007,0.0410
6.007,0.0430
5.999,0.0440
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0460
5.999,0.0450
5.999,0.0450
5.999,0.0450
6.007,0.0470
6.007,0.0460
6.007,0.0470
6.007,0.0470
6.007,0.0440
6.007,0.0450
6.007,0.0450
6.007,0.0400
6.007,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0440
5.999,0.0440
5.999,0.0460
5.999,0.0450
5.999,0.0450
5.999,0.0460
5.999,0.0460
6.007,0.0460
5.999,0.0460
5.999,0.0450
6.007,0.0440
6.007,0.0440
6.007,0.0440
6.007,0.0400
5.999,0.0430
5.999,0.0450
5.999,0.0450
5.999,0.0440
5.999,0.0450
5.999,0.0460
5.999,0.0440
5.999,0.0460
6.007,0.0470
6.007,0.0460
5.999,0.0460
5.999,0.0470
6.007,0.0440
6.007,0.0460
6.007,0.0460
6.007,0.0420
6.007,0.0390
5.999,0.0430
5.999,0.0450
5.999,0.0440
5.999,0.0450
5.999,0.0460
5.999,0.0440
5.999,0.0460
6.007,0.0470
6.007,0.0470
6.007,0.0460
5.999,0.0460
6.007,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0460
6.007,0.0420
6.007,0.0410
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0440
5.999,0.0450
5.999,0.0460
5.999,0.0460
5.999,0.0470
5.999,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0470
5.999,0.0450
6.007,0.0400
6.007,0.0430
5.999,0.0430
5.999,0.0440
5.999,0.0460
5.999,0.0450
5.999,0.0440
5.999,0.0470
5.999,0.0460
5.999,0.0460
5.999,0.0450
6.007,0.0460
6.007,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0450
6.007,0.0450
6.007,0.0400
6.007,0.0430
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0440
5.999,0.0470
5.999,0.0460
5.999,0.0450
5.999,0.0450
5.999,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0470
6.007,0.0450
6.007,0.0440
6.007,0.0420
6.007,0.0420
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0460
5.999,0.0450
5.999,0.0460
5.999,0.0450
5.999,0.0460
6.007,0.0470
6.007,0.0460
6.007,0.0460
6.007,0.0440
6.007,0.0450
6.007,0.0450
6.007,0.0410
6.007,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0460
5.999,0.0440
5.999,0.0460
6.007,0.0470
6.007,0.0470
6.007,0.0460
5.999,0.0460
6.007,0.0450
6.007,0.0450
6.007,0.0460
6.007,0.0400
5.999,0.0430
5.999,0.0440
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0460
5.999,0.0450
5.999,0.0450
6.007,0.0460
6.007,0.0460
6.007,0.0460
5.999,0.0460
6.007,0.0450
6.007,0.0450
6.007,0.0450
5.999,0.0430
6.007,0.0390
5.999,0.0430
5.999,0.0430
5.999,0.0450
5.999,0.0440
5.999,0.0460
5.999,0.0450
5.999,0.0460
5.999,0.0460
6.007,0.0460
5.999,0.0470
5.999,0.0470
6.007,0.0450
6.007,0.0460
6.007,0.0460
5.999,0.0450
6.007,0.0430
6.007,0.0400
5.999,0.0430
5.999,0.0430
5.999,0.0460
5.999,0.0450
5.999,0.0460
5.999,0.0450
6.007,0.0470
5.999,0.0470
5.999,0.0470
5.999,0.0470
6.007,0.0460
6.007,0.0450
6.007,0.0450
6.007,0.0460
6.007,0.0450
6.007,0.0410
6.007,0.0420
5.999,0.0440
5.999,0.0440
5.999,0.0460
5.999,0.0450
5.999,0.0450
5.999,0.0460
5.999,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0470
6.007,0.0470
6.007,0.0470
6.007,0.0470
6.007,0.0440
5.999,0.0440
6.007,0.0400
6.007,0.0430
5.999,0.0450
5.999,0.0450
5.999,0.0460
5.999,0.0450
5.999,0.0460
5.999,0.0470
5.999,0.0460
5.999,0.0460
5.999,0.0460
6.007,0.0470
6.007,0.0470
6.007,0.0470
5.999,0.0460
6.007,0.0430
6.007,0.0440
6.007,0.0390
6.007,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0440
5.999,0.0460
5.999,0.0460
5.999,0.0450
5.999,0.0450
6.007,0.0450
6.007,0.0460
6.007,0.0460
5.999,0.0470
6.007,0.0450
6.007,0.0440
6.007,0.0410
6.007,0.0420
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0450
6.007,0.0470
6.007,0.0460
6.007,0.0460
6.007,0.0470
6.007,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0410
6.007,0.0430
5.999,0.0450
5.999,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0440
5.999,0.0450
5.999,0.0470
5.999,0.0460
6.007,0.0460
6.007,0.0470
6.007,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0460
6.007,0.0400
6.007,0.0430
5.999,0.0430
5.999,0.0430
5.999,0.0440
5.999,0.0450
5.999,0.0450
5.999,0.0450
5.999,0.0460
6.007,0.0460
6.007,0.0470
6.007,0.0460
