U3[V],I3[A]
0.000,0.0000
0.419,0.0120
0.781,0.0380
1.208,0.0410
1.586,0.0490
1.796,0.0560
2.126,0.0650
2.440,0.0650
2.722,0.0600
2.963,0.0560
3.108,0.0560
3.317,0.0520
3.511,0.0530
3.696,0.0550
3.817,0.0620
4.002,0.0620
4.171,0.0690
4.340,0.0750
4.461,0.0820
4.670,0.1120
5.177,0.1670
5.435,0.1680
5.540,0.1820
5.644,0.1950
5.725,0.2220
5.789,0.2310
5.814,0.2560
5.854,0.2850
5.886,0.3240
5.926,0.3060
5.934,0.1580
5.950,0.1330
5.958,0.1290
5.967,0.1200
5.975,0.1260
5.983,0.1140
5.983,0.1150
5.991,0.1070
5.991,0.1130
5.991,0.1110
5.991,0.1070
5.999,0.0990
5.999,0.1030
5.999,0.0990
5.999,0.0990
5.999,0.0960
5.999,0.0910
5.999,0.0950
6.007,0.0840
6.007,0.0890
6.007,0.0880
6.007,0.0840
6.007,0.0840
6.007,0.0780
6.007,0.0750
6.007,0.0750
5.991,0.0840
5.999,0.0880
5.999,0.0880
5.999,0.0800
5.999,0.0840
6.007,0.0770
6.007,0.0740
6.007,0.0720
6.007,0.0720
6.007,0.0690
6.007,0.0680
6.007,0.0720
6.007,0.0670
6.007,0.0690
6.007,0.0690
6.007,0.0680
6.007,0.0650
6.007,0.0650
6.007,0.0660
6.007,0.0680
6.007,0.0680
6.007,0.0670
6.007,0.0670
6.007,0.0630
6.007,0.0630
6.007,0.0650
6.007,0.0620
6.007,0.0620
6.007,0.0620
6.007,0.0600
6.007,0.0590
6.007,0.0610
6.007,0.0620
6.007,0.0590
6.007,0.0600
6.007,0.0610
6.007,0.0580
6.007,0.0570
6.007,0.0570
6.007,0.0590
6.007,0.0580
5.999,0.0590
5.999,0.0560
6.007,0.0560
5.999,0.0580
6.007,0.0560
5.999,0.0560
6.007,0.0570
5.999,0.0560
5.999,0.0560
5.999,0.0560
5.999,0.0560
5.999,0.0550
5.999,0.0540
5.999,0.0560
5.999,0.0580
6.007,0.0540
5.999,0.0530
5.999,0.0530
5.999,0.0530
5.999,0.0520
5.999,0.0530
5.999,0.0540
5.999,0.0530
6.007,0.0430
6.015,0.0370
6.007,0.0340
6.007,0.0340
5.999,0.0350
5.999,0.0350
5.999,0.0340
5.999,0.0340
5.999,0.0340
5.999,0.0340
5.999,0.0340
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0320
5.999,0.0330
5.999,0.0330
5.999,0.0360
5.999,0.0370
5.999,0.0390
5.999,0.0390
5.999,0.0380
5.999,0.0380
5.999,0.0380
5.999,0.0370
5.999,0.0380
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
6.007,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0360
5.999,0.0370
5.999,0.0370
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0370
5.999,0.0360
5.999,0.0360
5.999,0.0360
6.007,0.0360
6.007,0.0370
5.999,0.0360
5.999,0.0360
5.999,0.0360
5.999,0.0360
6.007,0.0370
5.999,0.0360
5.999,0.0370
5.999,0.0360
6.007,0.0350
5.999,0.0360
5.999,0.0350
5.999,0.0360
5.999,0.0360
6.007,0.0360
5.999,0.0360
5.999,0.0350
5.967,0.0690
5.983,0.0480
6.023,0.0440
6.023,0.0370
6.015,0.0360
6.007,0.0360
6.007,0.0370
5.999,0.0360
5.999,0.0370
5.999,0.0420
5.999,0.0430
6.007,0.0410
6.007,0.0410
6.007,0.0410
6.007,0.0430
5.999,0.0430
5.999,0.0420
5.999,0.0420
5.999,0.0420
5.999,0.0430
5.999,0.0430
5.999,0.0430
5.999,0.0430
6.007,0.0440
