U3[V],I3[A]
0.000,0.0000
0.378,0.0010
0.789,0.0380
1.208,0.0400
1.586,0.0500
1.908,0.0620
2.126,0.0650
2.432,0.0670
2.722,0.0590
2.963,0.0530
3.108,0.0560
3.317,0.0550
3.511,0.0570
3.704,0.0590
3.825,0.0630
4.002,0.0650
4.171,0.0670
4.348,0.0750
4.469,0.0880
4.678,0.1130
5.177,0.1700
5.435,0.1670
5.548,0.1780
5.644,0.1960
5.725,0.2230
5.781,0.2480
5.814,0.2590
5.854,0.2900
5.886,0.3230
5.926,0.2160
5.942,0.1470
5.950,0.1350
5.958,0.1320
5.967,0.1270
5.975,0.1260
5.975,0.1220
5.983,0.1170
5.991,0.1120
5.991,0.1110
5.991,0.1030
5.991,0.1070
5.991,0.1060
5.999,0.1000
5.999,0.1000
5.999,0.1000
5.999,0.0900
5.999,0.0890
5.999,0.0880
5.999,0.0880
5.991,0.0970
5.999,0.0950
5.999,0.0960
5.999,0.0980
5.999,0.0870
6.007,0.0940
6.007,0.0910
6.007,0.0880
6.007,0.0840
6.007,0.0810
6.007,0.0810
6.007,0.0800
6.007,0.0730
6.007,0.0700
6.007,0.0720
6.007,0.0720
6.007,0.0720
6.007,0.0670
6.007,0.0670
6.007,0.0680
6.007,0.0660
6.007,0.0690
6.007,0.0670
6.007,0.0680
6.007,0.0650
6.007,0.0630
6.007,0.0630
6.007,0.0630
6.007,0.0620
6.007,0.0620
6.007,0.0650
6.007,0.0620
6.007,0.0630
6.007,0.0640
6.007,0.0620
6.007,0.0640
6.007,0.0620
6.007,0.0600
6.007,0.0600
6.007,0.0610
6.007,0.0600
6.007,0.0580
6.007,0.0580
6.007,0.0580
6.007,0.0580
6.007,0.0570
5.999,0.0600
5.999,0.0560
5.999,0.0570
5.999,0.0590
6.007,0.0570
5.999,0.0600
5.999,0.0580
6.007,0.0550
5.999,0.0550
6.007,0.0540
5.999,0.0560
5.999,0.0560
5.999,0.0530
5.999,0.0540
5.999,0.0530
5.999,0.0530
5.999,0.0530
5.999,0.0540
5.999,0.0550
5.999,0.0530
5.999,0.0530
5.999,0.0530
5.999,0.0530
5.999,0.0530
5.999,0.0530
6.007,0.0420
6.015,0.0370
6.007,0.0340
6.007,0.0340
6.007,0.0350
6.007,0.0340
5.999,0.0340
5.999,0.0340
5.999,0.0340
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0330
5.999,0.0320
5.999,0.0320
5.999,0.0330
5.999,0.0320
5.999,0.0320
5.999,0.0320
5.999,0.0320
5.999,0.0320
5.999,0.0320
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0380
5.999,0.0380
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0380
5.999,0.0370
5.999,0.0370
6.007,0.0370
5.999,0.0370
5.999,0.0370
6.007,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
5.999,0.0370
6.007,0.0370
5.999,0.0370
5.999,0.0360
