U3[V],I3[A]
0.411,0.0000
0.668,0.0560
1.119,0.0380
1.119,0.0400
1.836,0.0450
2.061,0.0520
2.375,0.0630
2.665,0.0650
2.923,0.0590
3.076,0.0570
3.277,0.0560
3.478,0.0530
3.672,0.0510
3.792,0.0560
3.978,0.0560
4.155,0.0630
4.332,0.0680
4.453,0.0750
4.646,0.0750
5.097,0.0930
5.403,0.1620
5.524,0.1530
5.636,0.1580
5.717,0.1760
5.781,0.1900
5.814,0.2120
5.854,0.2320
5.878,0.2560
5.902,0.2830
5.918,0.3160
5.950,0.3330
5.958,0.1580
5.967,0.1340
5.967,0.1320
5.983,0.1270
5.983,0.1270
5.983,0.1210
5.991,0.1140
5.991,0.1210
5.991,0.1100
5.991,0.1130
5.999,0.1090
5.999,0.1130
5.999,0.1060
5.999,0.1030
5.999,0.1080
5.999,0.1050
5.999,0.1070
5.999,0.1010
5.999,0.1070
5.999,0.1040
5.999,0.1030
5.999,0.0970
5.999,0.0980
5.999,0.1010
5.999,0.0990
5.999,0.0980
5.999,0.0970
6.007,0.0980
6.007,0.0910
5.999,0.0910
6.007,0.0930
6.007,0.0880
6.007,0.0880
6.007,0.0900
6.007,0.0910
6.007,0.0850
5.999,0.0890
5.999,0.0840
5.999,0.0900
5.999,0.0910
6.007,0.0910
6.007,0.0930
6.007,0.0880
5.999,0.0910
5.999,0.0880
6.007,0.0840
6.007,0.0910
6.007,0.0840
6.007,0.0830
6.007,0.0820
6.007,0.0840
6.007,0.0900
6.007,0.0840
6.007,0.0810
6.007,0.0810
6.007,0.0830
6.007,0.0820
6.007,0.0800
6.007,0.0790
6.007,0.0800
6.007,0.0800
6.007,0.0840
6.007,0.0780
5.999,0.0840
6.007,0.0770
6.007,0.0840
6.007,0.0820
6.007,0.0800
6.007,0.0750
5.999,0.0750
6.007,0.0750
5.999,0.0770
6.007,0.0810
6.007,0.0780
6.007,0.0750
6.007,0.0740
6.007,0.0810
6.007,0.0760
6.007,0.0750
6.007,0.0730
6.007,0.0750
6.007,0.0740
5.999,0.0720
6.007,0.0770
6.007,0.0720
6.007,0.0720
5.999,0.0760
6.007,0.0720
5.999,0.0730
6.007,0.0720
6.007,0.0720
6.007,0.0720
5.967,0.0730
5.991,0.1150
6.007,0.0970
6.007,0.0780
6.007,0.0810
6.007,0.0760
6.007,0.0740
6.007,0.0780
5.999,0.0740
5.999,0.0780
5.999,0.0780
5.999,0.0880
5.999,0.0780
5.999,0.0790
5.999,0.0850
5.999,0.0800
5.999,0.0820
5.999,0.0840
5.999,0.0860
5.999,0.0780
6.007,0.0800
5.999,0.0790
5.999,0.0840
6.007,0.0820
6.007,0.0860
6.007,0.0870
6.007,0.0750
5.999,0.0780
5.999,0.0780
6.007,0.0780
5.999,0.0840
5.999,0.0770
5.999,0.0820
5.999,0.0840
5.999,0.0810
6.007,0.0770
5.999,0.0830
5.999,0.0800
5.999,0.0840
6.007,0.0840
5.999,0.0840
6.007,0.0780
6.007,0.0820
6.007,0.0750
5.999,0.0760
5.999,0.0820
6.007,0.0770
5.999,0.0830
5.999,0.0780
5.999,0.0840
5.999,0.0800
5.999,0.0760
5.999,0.0780
6.007,0.0810
6.007,0.0790
6.007,0.0780
6.007,0.0850
6.007,0.0810
6.007,0.0780
6.007,0.0780
6.007,0.0720
5.999,0.0780
6.007,0.0810
6.007,0.0810
5.999,0.0810
5.999,0.0830
5.999,0.0800
5.999,0.0750
6.007,0.0800
5.999,0.0780
6.007,0.0840
5.999,0.0760
6.007,0.0800
6.007,0.0810
6.007,0.0840
6.007,0.0780
6.007,0.0780
6.007,0.0730
5.999,0.0810
5.999,0.0780
5.999,0.0760
5.999,0.0780
5.999,0.0820
5.999,0.0810
6.007,0.0750
5.999,0.0810
5.999,0.0820
5.999,0.0760
5.999,0.0820
6.007,0.0770
6.007,0.0840
6.007,0.0760
6.007,0.0780
6.007,0.0720
5.999,0.0760
5.999,0.0770
5.999,0.0780
5.999,0.0810
6.007,0.0810
6.007,0.0810
5.999,0.0810
5.999,0.0830
5.999,0.0830
5.999,0.0830
6.007,0.0820
5.999,0.0810
5.999,0.0780
5.999,0.0770
6.007,0.0770
6.007,0.0810
6.007,0.0720
5.999,0.0780
5.999,0.0830
5.999,0.0780
5.999,0.0800
5.999,0.0760
5.999,0.0810
5.999,0.0810
5.999,0.0790
5.999,0.0780
5.999,0.0810
6.007,0.0780
5.999,0.0840
5.999,0.0780
6.007,0.0790
6.007,0.0810
6.015,0.0720
6.007,0.0730
5.999,0.0770
5.999,0.0800
5.999,0.0800
5.999,0.0780
5.999,0.0780
5.999,0.0790
5.999,0.0800
5.999,0.0800
5.999,0.0810
5.999,0.0760
5.999,0.0760
5.999,0.0760
5.999,0.0770
5.999,0.0750
6.007,0.0760
6.007,0.0710
5.999,0.0810
5.999,0.0760
5.999,0.0750
5.999,0.0750
6.007,0.0810
5.999,0.0800
5.999,0.0800
5.999,0.0750
5.999,0.0810
5.999,0.0810
5.999,0.0840
5.999,0.0760
5.999,0.0810
6.007,0.0830
5.999,0.0780
6.007,0.0760
6.007,0.0720
5.999,0.0740
5.999,0.0810
5.999,0.0780
5.999,0.0750
5.999,0.0770
5.999,0.0810
5.999,0.0770
5.999,0.0750
5.999,0.0770
5.999,0.0840
5.999,0.0760
6.007,0.0800
6.007,0.0820
5.999,0.0810
5.999,0.0810
6.007,0.0780
6.007,0.0750
5.999,0.0790
5.999,0.0740
6.007,0.0750
5.999,0.0780
5.999,0.0780
5.999,0.0800
5.999,0.0810
6.007,0.0800
6.007,0.0840
5.999,0.0780
5.999,0.0750
5.999,0.0770
5.999,0.0790
6.007,0.0750
6.007,0.0800
6.007,0.0740
6.007,0.0780
5.999,0.0730
5.999,0.0780
5.999,0.0780
5.999,0.0810
5.999,0.0810
5.999,0.0810
5.999,0.0810
5.999,0.0820
5.999,0.0820
5.999,0.0820
5.999,0.0810
6.007,0.0770
6.007,0.0780
6.007,0.0800
6.007,0.0820
6.007,0.0750
5.999,0.0740
5.999,0.0800
5.999,0.0760
5.999,0.0750
5.999,0.0750
5.999,0.0780
5.999,0.0800
5.999,0.0810
5.999,0.0800
5.999,0.0790
5.999,0.0790
5.999,0.0790
5.999,0.0800
5.999,0.0790
6.007,0.0800
6.007,0.0780
6.007,0.0700
5.999,0.0750
5.999,0.0800
5.999,0.0740
5.999,0.0770
5.999,0.0810
5.999,0.0780
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0810
5.999,0.0760
5.999,0.0760
5.999,0.0770
5.999,0.0800
6.007,0.0760
6.007,0.0740
6.007,0.0720
5.999,0.0810
5.999,0.0760
5.999,0.0800
5.999,0.0750
6.007,0.0780
5.999,0.0800
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0760
6.007,0.0770
6.007,0.0830
5.999,0.0830
6.007,0.0780
6.007,0.0830
6.007,0.0770
6.007,0.0780
5.999,0.0810
5.999,0.0790
5.999,0.0770
6.007,0.0760
5.999,0.0800
5.999,0.0750
5.999,0.0810
5.999,0.0760
5.999,0.0760
5.999,0.0810
5.999,0.0760
5.999,0.0810
5.999,0.0840
6.007,0.0800
6.007,0.0830
6.007,0.0700
5.999,0.0770
5.999,0.0740
5.999,0.0770
5.999,0.0750
5.999,0.0790
5.999,0.0750
5.999,0.0810
5.999,0.0750
5.999,0.0810
5.999,0.0760
5.999,0.0790
5.999,0.0820
5.999,0.0760
5.999,0.0800
5.999,0.0750
6.007,0.0810
6.007,0.0780
5.999,0.0730
5.999,0.0770
5.999,0.0750
5.999,0.0780
5.999,0.0780
5.999,0.0770
5.999,0.0790
5.999,0.0750
5.999,0.0820
5.999,0.0760
5.999,0.0810
6.007,0.0780
5.999,0.0830
5.999,0.0770
6.007,0.0780
6.007,0.0720
6.007,0.0740
5.999,0.0760
5.999,0.0770
5.999,0.0800
5.999,0.0770
5.999,0.0810
5.999,0.0750
5.999,0.0810
6.007,0.0760
5.999,0.0820
5.999,0.0770
5.999,0.0780
6.007,0.0750
5.999,0.0830
5.999,0.0770
6.007,0.0800
6.007,0.0730
5.999,0.0730
5.999,0.0800
5.999,0.0770
5.999,0.0770
5.999,0.0790
5.999,0.0750
5.999,0.0810
5.999,0.0750
5.999,0.0810
5.999,0.0750
5.999,0.0810
5.999,0.0790
5.999,0.0790
6.007,0.0780
5.999,0.0820
6.007,0.0810
6.007,0.0750
5.999,0.0730
5.999,0.0800
5.999,0.0780
5.999,0.0750
5.999,0.0810
5.999,0.0770
5.999,0.0760
5.999,0.0810
5.999,0.0750
5.999,0.0810
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0800
6.007,0.0770
6.007,0.0740
6.007,0.0690
5.999,0.0750
5.999,0.0810
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0740
5.999,0.0790
5.999,0.0810
5.999,0.0750
5.999,0.0810
5.999,0.0780
5.999,0.0790
5.999,0.0810
6.007,0.0780
6.007,0.0790
6.007,0.0780
6.007,0.0780
5.999,0.0780
5.999,0.0770
5.999,0.0800
5.999,0.0760
5.999,0.0740
5.999,0.0810
5.999,0.0790
5.999,0.0750
5.999,0.0800
5.999,0.0820
6.007,0.0780
5.999,0.0840
6.007,0.0760
5.999,0.0750
6.007,0.0820
6.007,0.0710
5.999,0.0770
5.999,0.0790
5.999,0.0790
6.007,0.0780
5.999,0.0750
5.999,0.0810
5.999,0.0780
5.999,0.0750
5.999,0.0800
5.999,0.0810
5.999,0.0770
5.999,0.0840
6.007,0.0760
6.007,0.0750
5.999,0.0820
6.007,0.0760
6.007,0.0750
6.007,0.0760
5.999,0.0760
5.999,0.0780
6.007,0.0810
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0760
5.999,0.0760
5.999,0.0840
5.999,0.0760
6.007,0.0780
5.999,0.0800
5.999,0.0810
5.999,0.0780
6.007,0.0770
6.007,0.0720
5.999,0.0760
5.999,0.0770
6.007,0.0740
5.999,0.0800
5.999,0.0800
5.999,0.0750
6.007,0.0750
5.999,0.0830
5.999,0.0760
5.999,0.0780
5.999,0.0810
5.999,0.0810
6.007,0.0750
5.999,0.0830
6.007,0.0760
6.015,0.0710
6.007,0.0760
5.999,0.0780
5.999,0.0760
5.999,0.0800
5.999,0.0750
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0750
5.999,0.0760
5.999,0.0830
6.007,0.0760
6.007,0.0810
6.007,0.0750
5.999,0.0750
5.999,0.0800
5.999,0.0810
5.999,0.0760
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0760
5.999,0.0750
5.999,0.0810
5.999,0.0780
6.007,0.0750
5.999,0.0780
5.999,0.0830
6.007,0.0750
6.007,0.0740
6.007,0.0740
5.999,0.0730
5.999,0.0790
5.999,0.0800
5.999,0.0780
6.007,0.0740
5.999,0.0750
5.999,0.0810
5.999,0.0780
5.999,0.0750
6.007,0.0790
5.999,0.0830
5.999,0.0760
5.999,0.0780
5.999,0.0840
6.007,0.0810
6.007,0.0740
6.007,0.0770
5.999,0.0810
5.999,0.0760
5.999,0.0780
5.999,0.0810
5.999,0.0780
5.999,0.0750
5.999,0.0780
5.999,0.0810
5.999,0.0780
6.007,0.0750
5.999,0.0810
5.999,0.0830
5.999,0.0760
6.007,0.0760
6.007,0.0790
6.007,0.0770
6.007,0.0790
5.999,0.0730
5.999,0.0800
5.999,0.0780
6.007,0.0740
5.999,0.0780
5.999,0.0810
5.999,0.0810
5.999,0.0750
5.999,0.0760
5.999,0.0820
5.999,0.0780
5.999,0.0760
6.007,0.0750
5.999,0.0810
6.007,0.0790
6.007,0.0740
5.999,0.0750
5.999,0.0730
5.999,0.0770
