U3[V],I3[A]
0.000,0.0000
0.403,0.0030
0.709,0.0410
1.127,0.0400
1.522,0.0460
1.844,0.0570
2.069,0.0640
2.383,0.0650
2.673,0.0580
2.923,0.0540
3.076,0.0520
3.285,0.0530
3.478,0.0570
3.672,0.0600
3.801,0.0620
3.978,0.0600
4.155,0.0690
4.340,0.0750
4.461,0.0820
4.662,0.0920
5.129,0.1440
5.419,0.1360
5.532,0.1360
5.644,0.1570
5.717,0.1710
5.781,0.1920
5.814,0.2060
5.854,0.2340
5.886,0.2650
5.902,0.3000
5.926,0.3260
5.950,0.1840
5.967,0.1110
5.975,0.1040
5.983,0.1000
5.983,0.0910
5.983,0.0950
5.983,0.0960
5.991,0.0930
5.991,0.0940
5.991,0.0940
5.991,0.1000
5.999,0.0940
5.999,0.0940
5.999,0.0930
5.999,0.0890
5.999,0.0880
6.007,0.0850
6.007,0.0820
6.007,0.0760
6.007,0.0750
6.007,0.0750
6.007,0.0750
6.007,0.0730
6.007,0.0720
6.007,0.0730
6.007,0.0760
6.007,0.0730
6.007,0.0750
5.999,0.0740
5.999,0.0750
6.015,0.0650
6.015,0.0650
6.015,0.0620
6.015,0.0620
6.015,0.0640
6.015,0.0620
6.007,0.0630
6.007,0.0620
6.007,0.0600
6.007,0.0590
6.007,0.0580
6.007,0.0620
6.007,0.0590
6.007,0.0600
6.007,0.0570
6.007,0.0590
6.007,0.0590
5.999,0.0590
5.999,0.0580
5.999,0.0580
6.007,0.0550
6.007,0.0570
5.999,0.0540
5.999,0.0550
5.999,0.0560
5.999,0.0540
5.999,0.0540
6.007,0.0540
5.999,0.0550
5.999,0.0540
5.999,0.0540
5.999,0.0520
5.999,0.0520
5.999,0.0530
5.999,0.0530
5.999,0.0500
5.999,0.0500
5.999,0.0520
5.999,0.0500
5.999,0.0510
5.999,0.0510
5.999,0.0490
5.999,0.0490
5.999,0.0500
5.999,0.0490
6.007,0.0490
5.999,0.0480
5.999,0.0490
5.999,0.0480
5.999,0.0470
5.999,0.0490
5.999,0.0460
5.999,0.0460
5.999,0.0470
5.991,0.0900
5.958,0.0670
5.991,0.0560
6.023,0.0520
6.031,0.0500
6.023,0.0470
6.007,0.0460
5.999,0.0490
5.999,0.0490
5.999,0.0530
5.999,0.0580
6.007,0.0560
5.999,0.0550
6.007,0.0530
6.007,0.0570
6.007,0.0570
6.007,0.0550
5.999,0.0530
5.999,0.0540
5.999,0.0540
6.007,0.0560
5.999,0.0560
5.999,0.0560
5.999,0.0530
6.007,0.0550
6.007,0.0490
6.007,0.0560
5.999,0.0550
5.999,0.0550
6.007,0.0540
6.007,0.0560
6.007,0.0560
6.007,0.0520
5.999,0.0530
5.999,0.0530
5.999,0.0530
5.999,0.0510
5.999,0.0520
5.999,0.0530
5.999,0.0530
5.999,0.0520
5.999,0.0530
6.007,0.0480
5.999,0.0520
5.999,0.0540
5.999,0.0520
6.007,0.0530
6.007,0.0530
6.007,0.0530
5.999,0.0530
5.999,0.0520
5.999,0.0500
5.999,0.0520
5.999,0.0530
5.999,0.0520
5.999,0.0530
5.999,0.0520
5.999,0.0540
6.007,0.0460
5.999,0.0510
5.999,0.0520
5.999,0.0530
6.007,0.0530
6.007,0.0530
6.007,0.0510
5.999,0.0510
5.999,0.0490
5.999,0.0490
6.007,0.0510
5.999,0.0500
5.999,0.0500
5.999,0.0500
5.999,0.0510
5.999,0.0510
5.999,0.0530
6.007,0.0450
5.999,0.0500
5.999,0.0520
5.999,0.0530
6.007,0.0520
6.007,0.0530
5.999,0.0510
6.007,0.0500
6.007,0.0500
5.999,0.0500
5.999,0.0510
5.999,0.0500
5.999,0.0510
5.999,0.0510
5.999,0.0520
5.999,0.0500
5.999,0.0500
6.007,0.0450
6.007,0.0490
5.999,0.0520
5.999,0.0500
5.999,0.0530
5.999,0.0500
6.007,0.0490
6.007,0.0490
6.007,0.0490
6.007,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0500
5.999,0.0500
6.007,0.0500
5.999,0.0500
6.007,0.0470
6.007,0.0450
6.007,0.0510
5.999,0.0500
5.999,0.0530
5.999,0.0490
6.007,0.0500
6.007,0.0490
6.007,0.0510
6.007,0.0490
5.999,0.0500
5.999,0.0500
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0490
6.007,0.0450
6.007,0.0470
5.999,0.0510
5.999,0.0520
5.999,0.0530
6.007,0.0490
6.007,0.0510
6.007,0.0520
6.007,0.0520
5.999,0.0480
5.999,0.0480
5.999,0.0480
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0500
6.007,0.0440
6.007,0.0480
5.999,0.0500
5.999,0.0500
5.999,0.0500
6.007,0.0490
6.007,0.0490
6.007,0.0490
5.999,0.0480
5.999,0.0490
6.007,0.0490
6.007,0.0490
5.999,0.0500
5.999,0.0490
5.999,0.0490
5.999,0.0490
6.007,0.0520
6.007,0.0440
6.007,0.0500
5.999,0.0490
5.999,0.0490
6.007,0.0510
6.007,0.0510
6.007,0.0500
5.999,0.0480
5.999,0.0480
5.999,0.0490
6.007,0.0490
5.999,0.0480
5.999,0.0490
5.999,0.0490
5.999,0.0490
6.007,0.0520
6.007,0.0460
6.007,0.0480
5.999,0.0490
5.999,0.0500
5.999,0.0490
6.007,0.0510
6.007,0.0490
5.999,0.0490
5.999,0.0490
6.007,0.0480
6.007,0.0490
6.007,0.0490
5.999,0.0490
5.999,0.0480
5.999,0.0490
5.999,0.0510
5.999,0.0520
6.007,0.0440
6.007,0.0490
5.999,0.0500
5.999,0.0490
5.999,0.0510
5.999,0.0510
5.999,0.0480
5.999,0.0480
5.999,0.0490
6.007,0.0490
6.007,0.0490
5.999,0.0480
5.999,0.0480
5.999,0.0490
5.999,0.0490
5.999,0.0500
5.999,0.0500
6.007,0.0430
6.007,0.0470
5.999,0.0490
5.999,0.0490
6.007,0.0490
5.999,0.0490
6.007,0.0490
5.999,0.0480
6.007,0.0480
6.007,0.0470
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0460
6.007,0.0450
6.007,0.0480
5.999,0.0490
5.999,0.0510
5.999,0.0510
6.007,0.0480
6.007,0.0490
6.007,0.0470
6.007,0.0500
5.999,0.0480
5.999,0.0480
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0500
6.007,0.0440
6.007,0.0440
6.007,0.0490
5.999,0.0510
5.999,0.0490
6.007,0.0490
6.007,0.0500
6.007,0.0480
6.007,0.0510
5.999,0.0490
5.999,0.0490
5.999,0.0470
6.007,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0480
6.007,0.0450
6.007,0.0480
5.999,0.0490
5.999,0.0490
5.999,0.0500
6.007,0.0490
6.007,0.0490
6.007,0.0500
5.999,0.0490
5.999,0.0480
6.007,0.0490
5.999,0.0480
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0480
5.999,0.0490
6.007,0.0430
6.007,0.0480
5.999,0.0500
5.999,0.0490
6.007,0.0490
6.007,0.0490
6.007,0.0510
5.999,0.0490
5.999,0.0490
5.999,0.0480
6.007,0.0490
5.999,0.0480
5.999,0.0490
5.999,0.0490
5.999,0.0490
5.999,0.0520
5.999,0.0490
6.007,0.0430
6.007,0.0490
5.999,0.0490
5.999,0.0500
6.007,0.0510
5.999,0.0510
6.007,0.0490
5.999,0.0490
6.007,0.0490
5.999,0.0480
6.007,0.0490
5.999,0.0480
5.999,0.0490
5.999,0.0490
5.999,0.0480
5.999,0.0510
5.999,0.0450
6.007,0.0460
