U3[V],I3[A]
0.000,0.0000
0.354,0.0010
1.023,0.0570
1.296,0.0390
1.659,0.0410
1.989,0.0490
2.303,0.0620
2.504,0.0650
2.786,0.0650
3.020,0.0550
3.229,0.0550
3.366,0.0520
3.559,0.0520
3.752,0.0580
3.929,0.0610
4.050,0.0590
4.227,0.0620
4.404,0.0680
4.590,0.0750
4.783,0.0900
5.258,0.1250
5.475,0.1590
5.612,0.1740
5.677,0.1820
5.749,0.1930
5.805,0.2060
5.846,0.2270
5.870,0.2430
5.894,0.2550
5.918,0.2710
5.934,0.2930
5.950,0.3260
5.967,0.3270
5.975,0.1870
5.983,0.1680
5.991,0.1620
5.991,0.1610
5.999,0.1580
5.991,0.1120
5.999,0.1370
5.999,0.1450
5.999,0.1430
5.999,0.1400
5.999,0.1340
5.999,0.1380
6.007,0.1440
6.007,0.1450
6.007,0.1430
6.007,0.1290
6.007,0.1370
6.007,0.1260
6.007,0.1260
6.007,0.1350
6.007,0.1240
6.007,0.1220
6.007,0.1330
6.007,0.1260
6.007,0.1290
6.007,0.1250
6.007,0.1290
6.007,0.1160
6.007,0.1160
6.007,0.1190
6.007,0.1200
6.007,0.1150
6.007,0.1270
6.007,0.1250
6.007,0.1200
6.007,0.1140
6.007,0.1160
6.007,0.1260
6.007,0.1260
6.007,0.1250
6.007,0.1160
6.007,0.1190
6.007,0.1250
6.007,0.1110
6.007,0.1120
6.007,0.1230
6.007,0.1160
6.007,0.1190
6.007,0.1230
6.007,0.1210
6.007,0.1230
6.007,0.1090
6.007,0.1220
6.007,0.1100
6.007,0.1120
6.007,0.1070
6.007,0.1120
6.007,0.1090
6.007,0.1160
6.007,0.1090
6.007,0.1130
6.007,0.1030
6.007,0.1030
6.007,0.1120
6.007,0.1140
6.015,0.1000
6.007,0.0900
6.007,0.0910
6.007,0.0890
6.007,0.0930
6.007,0.0960
6.007,0.0910
6.007,0.0930
6.007,0.0950
6.007,0.0980
6.007,0.0930
6.007,0.0970
6.007,0.0980
6.007,0.0970
6.007,0.0910
6.007,0.0890
6.007,0.0880
6.007,0.0970
6.007,0.0910
6.007,0.0880
6.007,0.0890
6.007,0.0870
6.007,0.0940
6.007,0.0900
6.007,0.0920
6.007,0.0870
5.983,0.0950
6.007,0.1310
6.007,0.1070
6.007,0.0910
6.007,0.0910
6.007,0.0910
6.007,0.0870
6.007,0.0980
6.007,0.0910
5.999,0.0910
5.999,0.0990
6.007,0.0940
5.999,0.1070
6.007,0.0960
5.999,0.1080
5.999,0.1010
6.007,0.0950
6.007,0.1070
6.007,0.0970
6.007,0.1040
6.007,0.1070
6.007,0.1030
6.007,0.1000
6.007,0.0980
6.007,0.1010
6.007,0.1050
6.007,0.1000
6.007,0.1050
6.007,0.1070
5.999,0.0990
5.999,0.0940
5.999,0.0970
6.007,0.1030
6.007,0.1070
6.007,0.1090
6.007,0.1030
6.007,0.0970
6.007,0.1000
6.007,0.1010
6.007,0.1070
6.007,0.1070
6.007,0.1050
6.007,0.0970
5.999,0.0900
5.999,0.0920
5.999,0.1030
6.007,0.0960
5.999,0.1050
6.007,0.0940
5.999,0.1060
6.007,0.0960
5.999,0.1080
6.007,0.0940
5.999,0.1060
6.007,0.0940
6.007,0.1010
5.999,0.1040
6.007,0.0970
6.007,0.1050
6.007,0.0970
