U3[V],I3[A]
0.000,0.0000
0.419,0.0050
0.837,0.0390
1.256,0.0410
1.627,0.0480
1.844,0.0560
2.174,0.0650
2.480,0.0650
2.762,0.0590
2.915,0.0540
3.132,0.0560
3.342,0.0580
3.535,0.0590
3.656,0.0620
3.833,0.0650
4.010,0.0640
4.179,0.0720
4.292,0.0740
4.461,0.0860
4.694,0.1280
5.202,0.1770
5.379,0.1740
5.540,0.1890
5.653,0.2120
5.725,0.2440
5.773,0.2590
5.822,0.2960
5.862,0.3210
5.910,0.1300
5.926,0.0970
5.942,0.0830
5.958,0.0790
5.967,0.0730
5.975,0.0710
5.983,0.0680
5.991,0.0670
5.999,0.0670
5.999,0.0630
6.007,0.0600
6.007,0.0620
6.015,0.0570
6.015,0.0580
6.007,0.0580
6.007,0.0560
6.007,0.0550
6.007,0.0550
6.007,0.0530
6.007,0.0530
6.007,0.0530
6.007,0.0510
6.007,0.0520
6.007,0.0530
6.007,0.0500
6.007,0.0490
6.007,0.0510
6.007,0.0490
6.007,0.0480
6.007,0.0490
6.007,0.0490
6.007,0.0470
6.007,0.0480
6.007,0.0470
6.007,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0460
6.007,0.0460
5.999,0.0490
5.999,0.0510
5.999,0.0530
5.999,0.0510
6.007,0.0500
5.999,0.0510
6.007,0.0500
6.007,0.0510
6.007,0.0500
6.007,0.0490
6.007,0.0490
6.007,0.0490
6.007,0.0490
6.007,0.0490
6.007,0.0460
5.999,0.0470
6.007,0.0470
6.007,0.0460
6.007,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0460
6.007,0.0440
6.007,0.0440
6.007,0.0440
5.999,0.0450
5.999,0.0440
5.999,0.0430
5.999,0.0440
6.007,0.0430
6.007,0.0430
5.999,0.0420
5.999,0.0430
5.999,0.0430
5.999,0.0430
5.999,0.0420
5.999,0.0420
5.999,0.0420
5.999,0.0420
5.999,0.0400
5.999,0.0410
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0390
5.999,0.0390
5.999,0.0400
5.999,0.0390
5.999,0.0380
5.999,0.0380
5.999,0.0380
5.999,0.0370
5.967,0.0700
5.983,0.0520
6.023,0.0470
6.023,0.0400
6.015,0.0380
6.007,0.0390
6.007,0.0390
6.007,0.0400
6.007,0.0400
5.999,0.0460
5.999,0.0460
5.999,0.0450
5.999,0.0460
5.999,0.0460
6.007,0.0470
6.007,0.0460
6.007,0.0450
6.007,0.0440
6.007,0.0440
6.007,0.0430
6.007,0.0450
5.999,0.0450
5.999,0.0440
5.999,0.0440
6.007,0.0420
6.007,0.0410
5.999,0.0430
5.999,0.0440
5.999,0.0460
6.007,0.0450
6.007,0.0460
6.007,0.0460
6.007,0.0430
6.007,0.0430
6.007,0.0430
6.007,0.0430
6.007,0.0430
5.999,0.0430
5.999,0.0430
5.999,0.0430
5.999,0.0450
6.007,0.0390
6.007,0.0400
5.999,0.0420
5.999,0.0430
6.007,0.0430
5.999,0.0430
6.007,0.0440
6.007,0.0440
6.007,0.0420
6.007,0.0430
6.007,0.0420
6.007,0.0430
5.999,0.0410
5.999,0.0420
5.999,0.0420
5.999,0.0420
5.999,0.0420
6.007,0.0360
5.999,0.0400
5.999,0.0410
5.999,0.0430
5.999,0.0430
6.007,0.0420
6.007,0.0430
6.007,0.0410
6.007,0.0410
6.007,0.0420
6.007,0.0420
5.999,0.0400
5.999,0.0410
5.999,0.0410
5.999,0.0400
5.999,0.0410
5.999,0.0400
6.007,0.0360
5.999,0.0400
5.999,0.0420
5.999,0.0430
6.007,0.0420
6.007,0.0420
6.007,0.0400
6.007,0.0410
6.007,0.0420
6.007,0.0410
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0410
6.007,0.0370
5.999,0.0390
5.999,0.0410
5.999,0.0410
5.999,0.0430
6.007,0.0430
6.007,0.0410
6.007,0.0410
6.007,0.0410
6.007,0.0410
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0410
6.007,0.0350
5.999,0.0390
5.999,0.0400
5.999,0.0420
5.999,0.0420
5.999,0.0420
6.007,0.0400
6.007,0.0420
6.007,0.0400
6.007,0.0400
5.999,0.0400
5.999,0.0400
6.007,0.0400
6.007,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
6.007,0.0350
5.999,0.0400
5.999,0.0420
5.999,0.0420
5.999,0.0420
6.007,0.0410
6.007,0.0400
6.007,0.0410
6.007,0.0400
6.007,0.0400
6.007,0.0400
6.007,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
5.999,0.0400
6.007,0.0370
6.007,0.0340
5.999,0.0400
5.999,0.0400
5.999,0.0400
6.007,0.0410
6.007,0.0400
6.007,0.0410
6.007,0.0400
6.007,0.0400
